category,principle,goal,logprob
ISO/IEC 27701:2025,1,0,0
ISO/IEC 27701:2025,1,1,0
ISO/IEC 27701:2025,1,2,0
ISO/IEC 27701:2025,1,3,0
ISO/IEC 27701:2025,2,4,0
ISO/IEC 27701:2025,2,5,0
ISO/IEC 27701:2025,2,6,0
ISO/IEC 27701:2025,3,7,0
ISO/IEC 27701:2025,3,8,0
ISO/IEC 27701:2025,3,9,0
ISO/IEC 27701:2025,4,10,0
ISO/IEC 27701:2025,4,11,0
ISO/IEC 27701:2025,4,12,0
ISO/IEC 27701:2025,4,13,0
ISO/IEC 27701:2025,4,14,0
ISO/IEC 27701:2025,5,15,0
ISO/IEC 27701:2025,5,16,0
ISO/IEC 27701:2025,5,17,0
ISO/IEC 27701:2025,6,18,0
ISO/IEC 27701:2025,6,19,0
ISO/IEC 27701:2025,6,20,0
ISO/IEC 27701:2025,7,21,0
ISO/IEC 27701:2025,7,22,0
Europe (GDPR),1,0,-0.002883
Europe (GDPR),1,1,-0.002197
Europe (GDPR),1,2,-0.000612
Europe (GDPR),1,3,-0.275832
Europe (GDPR),2,4,-0.07097
Europe (GDPR),2,5,-1.2e-05
Europe (GDPR),2,6,-1e-06
Europe (GDPR),3,7,0.0
Europe (GDPR),3,8,-0.000173
Europe (GDPR),3,9,-0.006758
Europe (GDPR),4,10,-7e-06
Europe (GDPR),4,11,-8e-06
Europe (GDPR),4,12,-1.9e-05
Europe (GDPR),4,13,0.0
Europe (GDPR),4,14,0.0
Europe (GDPR),5,15,-1e-06
Europe (GDPR),5,16,0.0
Europe (GDPR),5,17,0.0
Europe (GDPR),6,18,-0.000152
Europe (GDPR),6,19,-0.00076
Europe (GDPR),6,20,-2e-06
Europe (GDPR),7,21,-2e-06
Europe (GDPR),7,22,0.0
Paraguay (Law 7593/25),1,0,-54.3053
Paraguay (Law 7593/25),1,1,-0.162349
Paraguay (Law 7593/25),1,2,-54.3053
Paraguay (Law 7593/25),1,3,-54.3053
Paraguay (Law 7593/25),2,4,-54.3053
Paraguay (Law 7593/25),2,5,-0.028108
