category,principle,goal,logprob
ISO/IEC 27701:2025,1,0,0
ISO/IEC 27701:2025,1,1,0
ISO/IEC 27701:2025,1,2,0
ISO/IEC 27701:2025,1,3,0
ISO/IEC 27701:2025,2,4,0
ISO/IEC 27701:2025,2,5,0
ISO/IEC 27701:2025,2,6,0
ISO/IEC 27701:2025,3,7,0
ISO/IEC 27701:2025,3,8,0
ISO/IEC 27701:2025,3,9,0
ISO/IEC 27701:2025,4,10,0
ISO/IEC 27701:2025,4,11,0
ISO/IEC 27701:2025,4,12,0
ISO/IEC 27701:2025,4,13,0
ISO/IEC 27701:2025,4,14,0
ISO/IEC 27701:2025,5,15,0
ISO/IEC 27701:2025,5,16,0
ISO/IEC 27701:2025,5,17,0
ISO/IEC 27701:2025,6,18,0
ISO/IEC 27701:2025,6,19,0
ISO/IEC 27701:2025,6,20,0
ISO/IEC 27701:2025,7,21,0
ISO/IEC 27701:2025,7,22,0
GDPR (Europe),1,0,-0.002883
GDPR (Europe),1,1,-0.002197
GDPR (Europe),1,2,-0.000612
GDPR (Europe),1,3,-0.275832
GDPR (Europe),2,4,-0.07097
GDPR (Europe),2,5,-1.2e-05
GDPR (Europe),2,6,-1e-06
GDPR (Europe),3,7,0.0
GDPR (Europe),3,8,-0.000173
GDPR (Europe),3,9,-0.006758
GDPR (Europe),4,10,-7e-06
GDPR (Europe),4,11,-8e-06
GDPR (Europe),4,12,-1.9e-05
GDPR (Europe),4,13,0.0
GDPR (Europe),4,14,0.0
GDPR (Europe),5,15,-1e-06
GDPR (Europe),5,16,0.0
GDPR (Europe),5,17,0.0
GDPR (Europe),6,18,-0.000152
GDPR (Europe),6,19,-0.00076
GDPR (Europe),6,20,-2e-06
GDPR (Europe),7,21,-2e-06
GDPR (Europe),7,22,0.0
Law 7593/25 (Paraguay),1,0,-54.3053
Law 7593/25 (Paraguay),1,1,-0.162349
Law 7593/25 (Paraguay),1,2,-54.3053
Law 7593/25 (Paraguay),1,3,-54.3053
Law 7593/25 (Paraguay),2,4,-54.3053
